material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-2629,Ce7O12,0.0,-9.229917588947366,6.58807703070408,0.0,,,,,,,
mp-8667,CeB2C,0.0,-14.470741765833333,6.08644444201254,0.0,,,,,,,
mp-1974,CeB4,0.0,-12.7128358145,5.8040245745681,0.0,,,,,,,
mp-21343,CeB6,0.0,-11.287087702857145,4.837787242069104,0.0,172.66666666666669,117.19436201780415,286.715451939989,,,,
mp-20882,CeBO3,0.0,-8.904444915000001,5.483837776597158,0.058699999999999,,,,,,,
mp-1226734,CeEuB12,0.0,-11.822523022142857,4.930460397817759,0.0,,,,,,,
mp-1213931,CeMg(BO2)5,0.0,-8.398317617205882,3.883469806799888,0.28999999999999904,,,,,,,
mp-1103919,CeMg12,0.0,-6.256385989230769,2.312501813344296,0.0,,,,,,,
mp-697677,CeMg2H7,0.0,-3.70913866025,3.493744642913253,0.0,,,,,,,
mp-1798,CeMg3,0.0,-10.891723217500001,3.527751787280468,0.0,45.666666666666664,28.70754716981132,71.20256191289495,,,,
mp-3347313,C,0.0,-9.94723519,2.1761568056275022,1.376199999999999,,,,,,,
mp-20066,CO2,0.0,-8.144358236666667,1.759790401139708,6.6332,4.666666666666666,2.1869565217391305,5.674456083803384,1.8651204199999991,8.217301096052207e-31,2.220446049250313e-15,1.000000000000001
mp-45,Ca,0.0,-7.0382937,1.534815625204312,0.0,17.33333333333332,7.716438356164383,20.158007019475598,,,,
mp-558358,Ca(B3O5)2,0.0,-8.35689585485294,2.540390162540968,5.8260000000000005,,,,,,,
mp-10289,Ca(BC)2,0.0,-8.754608244,2.687135181770838,0.475099999999999,135.22764227642276,95.42446835770814,231.7591677131652,15.845258970000009,8.34232143811604,6.127027628764065,1.5209802762429478
mp-1196257,Ca(BH)12,0.0,-5.329719584199999,1.297158812400229,4.8911,,,,,,,
mp-1190619,Ca(BH4)2,0.0,-4.344288539545455,1.066439259571903,4.9736,,,,2.6908612131776732,0.0038715590818950776,0.15024547498881713,1.0576018028008287
mp-8056,Ca(BO2)2,0.0,-8.1509195825,2.8745659699264783,6.2272,,,,,,,
mp-644307,Ca(H2N)2,0.0,-6.277731212142856,1.769863872689547,2.6985,,,,,,,
mp-23879,Ca(HO)2,0.0,-5.903074867999993,2.295852152215431,4.1119,35.70289855072464,20.86688398397612,52.39338783703964,2.64795885,0.009580301510403294,0.20763318434914746,1.0827376455076752
mp-3142,Ca(NO3)2,0.0,-6.896944094444445,2.5718394006584253,3.6398,4.0,8.1,14.50746268656716,,,,
mp-5680,Ca(PO3)2,0.0,-7.696334674583331,2.872759864848941,5.4963,,,,,,,
mp-1386933,Ca(TiS2)4,0.0,-6.920296863846153,2.9445322331177732,0.0,,,,,,,
mp-1048589,Ca(TiS2)8,0.0,-6.965417479600024,2.992590536864289,0.0,,,,,,,
mp-1195864,Ca10P6CO27,0.0,-7.693585885227272,3.052952399577363,5.137399999999999,,,,,,,
mp-686464,Ca10P6SO24,0.0,-7.562787381341462,3.010491369686083,3.7477,,,,,,,
mp-677016,Ca18Eu2P12(SO16)3,0.0,-7.730108017108434,3.347960975754982,0.06080000000000001,,,,,,,
mp-734733,Ca19(Mg4H27)2,0.0,-3.454301708641975,1.8669562936160422,2.9263,,,,,,,
mp-1228644,Ca19Mg2(PO4)14,0.0,-7.640680494725272,3.11438199812455,5.077,,,,,,,
mp-1019560,Ca2B2O5,0.0,-7.921644682777778,2.781254177500124,4.7075,,,,2.88472456,0.013062348897596152,0.25802966000000094,1.09471207957869
mp-27657,Ca2B6O11,0.0,-8.25191043381573,2.8758473688145623,5.639,,,,,,,
mp-706291,Ca2B8H2O15,0.0,-7.963322043333334,2.500140682302232,5.6576,,,,,,,
mp-24266,Ca2BHN2,0.0,-6.315232134166668,2.376877353113204,3.002,,,,4.171090253333333,0.10347248463254664,0.7663848099999999,1.1995416735813758
mp-24119,Ca2HN,0.0,-7.61075007375,2.462779663361686,1.6356000000000002,,,,5.334406266666664,1.3121293624215352e-13,7.962773738157125e-07,1.000000149271992
mp-1196550,Ca2Mg5Si8(HO12)2,0.0,-7.574888081951219,2.974188123106647,4.8269,,,,,,,
mp-2686,Ca2N,0.0,-8.632833980000001,2.164011901034173,0.0,33.92764857881137,16.096467963875966,41.6954718526343,,,,
mp-17922,Ca2P2O7,0.0,-7.711384303863636,2.95039552553195,5.7341999999999995,,,,,,,
mp-758337,Ca2P6O17,0.0,-7.6807005962,2.381268107931721,5.5089,,,,,,,
mp-8977,Ca2PN3,0.0,-9.769450995833333,3.372363756628859,2.601800000000001,,,,,,,
mp-1009733,Ca2Si,0.0,-8.15104167,1.95011765292123,0.320999999999999,37.0,24.920905923344947,61.05507917342787,,,,
mp-28922,Ca2Si5N8,0.0,-7.929516207999999,3.061091496205796,3.344899999999999,,,,4.327307766666666,0.0028306877726268,0.12317071884896791,1.0289579716226014
mp-4481,Ca2SiO4,0.0,-7.652111670357143,2.962860651405768,4.199400000000001,89.30345267979035,49.74659516714626,125.86812271480628,,,,
mp-1194033,Ca2SiS4,0.0,-9.608123264285714,2.260928089031615,3.1115,,,,,,,
mp-680380,Ca2Ta2O7,0.0,-9.154361970714286,6.3064528718959565,3.3532,,,,,,,
mp-1029773,Ca2TaN3,0.0,-16.394883080833335,5.340992901872447,1.9488999999999992,,,,6.211280763333332,0.05885365258600822,0.5459326299999994,1.0929949005949466
mp-1397126,Ca2Ti3O8,0.0,-8.731400796923076,3.633101922188258,2.7744,,,,4.8703921866666695,0.5490474347848284,1.6167740356450047,1.4228075651549714
mp-667369,Ca2Zr5Ti2O16,0.0,-9.38162415275,4.842195450446651,3.1694,,,,,,,
mp-1227905,Ca3(BN2)2,0.0,-9.420056253518519,2.514359077896192,2.4714,,,,,,,
mp-3575,Ca3(BO3)2,0.0,-7.748484285,3.114461132518799,4.8224,,,,3.1538666500000017,0.04656571439508433,0.4577616933616504,1.1606918743666435
mp-1197377,Ca3(PO4)2,0.0,-7.666536891474359,2.780985098868443,4.9116,,,,,,,
mp-1195188,Ca3(Si4P7)2,0.0,-5.410453400400001,2.499451477402064,1.2361,,,,,,,
mp-1194866,Ca3(SiP2)2,0.0,-5.164629432499999,2.5294582663271683,0.8441999999999991,,,,,,,
mp-1182037,Ca3B4(H4O)3,0.0,-5.195802406363636,1.7096693274044652,4.7904,,,,,,,
